Commune A;Commune B;Distance
NANTES;SAINT-PAUL;64
NANTES;TAMPON;94
SAINT-NAZAIRE;VANNES;69
SAINT-NAZAIRE;PAU;95
SAINT-NAZAIRE;VENISSIEUX;71
SAINT-NAZAIRE;LYON;71
SAINT-NAZAIRE;VILLEURBANNE;73
SAINT-NAZAIRE;AVIGNON;58
SAINT-NAZAIRE;LA ROCHE-SUR-YON;82
SAINT-NAZAIRE;CAYENNE;85
SAINT-NAZAIRE;SAINT-PAUL;99
SAINT-NAZAIRE;SAINT-PIERRE;77
ORLEANS;BEAUVAIS;65
ORLEANS;CALAIS;65
ORLEANS;STRASBOURG;46
ORLEANS;COLMAR;90
ORLEANS;MULHOUSE;94
ORLEANS;PARIS;69
ORLEANS;ROUEN;66
ORLEANS;CHELLES;96
ORLEANS;SARTROUVILLE;57
ORLEANS;VERSAILLES;47
ORLEANS;MONTAUBAN;25
ORLEANS;LIMOGES;36
ORLEANS;EVRY;73
ORLEANS;NEUILLY-SUR-SEINE;62
ORLEANS;CLAMART;59
ORLEANS;ISSY-LES-MOULINEAUX;60
ORLEANS;RUEIL-MALMAISON;56
ORLEANS;ANTONY;61
ORLEANS;LEVALLOIS-PERRET;65
ORLEANS;BOULOGNE-BILLANCOURT;59
ORLEANS;ASNIERES-SUR-SEINE;65
ORLEANS;COLOMBES;62
ORLEANS;COURBEVOIE;62
ORLEANS;CLICHY;66
ORLEANS;NANTERRE;57
ORLEANS;MONTREUIL;78
ORLEANS;AULNAY-SOUS-BOIS;90
ORLEANS;SAINT-DENIS;73
ORLEANS;NOISY-LE-GRAND;92
ORLEANS;AUBERVILLIERS;75
ORLEANS;PANTIN;76
ORLEANS;BONDY;83
ORLEANS;EPINAY-SUR-SEINE;69
ORLEANS;DRANCY;82
ORLEANS;LE BLANC-MESNIL;82
ORLEANS;FONTENAY-SOUS-BOIS;83
ORLEANS;SAINT-MAUR-DES-FOSSES;83
ORLEANS;VILLEJUIF;69
ORLEANS;VITRY-SUR-SEINE;72
ORLEANS;CHAMPIGNY-SUR-MARNE;85
ORLEANS;IVRY-SUR-SEINE;72
ORLEANS;MAISONS-ALFORT;76
ORLEANS;CRETEIL;79
ORLEANS;CERGY;50
ORLEANS;ARGENTEUIL;63
ORLEANS;SARCELLES;78
ORLEANS;AJACCIO;63
ORLEANS;FORT-DE-FRANCE;80
ORLEANS;MAMOUDZOU;34
CHOLET;ANGERS;49
CHOLET;REIMS;65
CHOLET;LAVAL;74
CHOLET;VENISSIEUX;74
CHOLET;LYON;73
CHOLET;VILLEURBANNE;73
CHOLET;NIORT;78
